transcript_id,cov,fpkm,tpm
STRG.1.1,1.822485,0.365492,0.237986
STRG.2.1,1.0,0.200546,0.130583
STRG.3.1,3.258984,0.653576,0.425569
STRG.4.1,149.037598,29.888878,19.461832
STRG.5.1,1.0,0.200546,0.130583
STRG.6.1,1.922153,0.38548,0.251001
STRG.6.2,1.075425,0.215672,0.140433
STRG.7.1,3.924193,0.786981,0.512434
STRG.8.1,6.518971,1.307353,0.851269
STRG.8.2,1.144255,0.229476,0.149421
STRG.8.3,4.449955,0.89242,0.58109
STRG.9.1,1.380624,0.276878,0.180287
STRG.10.1,50.972801,10.222386,6.6562
STRG.11.1,37.58606,7.53773,4.908114
STRG.11.2,5.296486,1.062189,0.691633
STRG.12.1,26.487106,5.31188,3.458776
STRG.13.1,67.303856,13.497512,8.788765
STRG.14.1,17.888475,3.58746,2.335938
STRG.15.1,28.987179,5.81326,3.785244
STRG.16.1,44.853317,8.995149,5.857097
STRG.17.1,25.409691,5.095809,3.318083
STRG.18.1,1618.140137,324.511383,211.3022
STRG.19.1,31.817631,6.380896,4.154853
STRG.20.1,1.198492,0.240353,0.156503
STRG.21.1,1.0,0.200546,0.130583
STRG.22.1,1.997784,0.400647,0.260877
STRG.23.1,3.540168,0.709966,0.462287
STRG.24.1,79.170265,15.877272,10.33832
STRG.25.1,2.405756,0.482464,0.314152
STRG.26.1,13.240658,2.65536,1.72901
STRG.26.2,13.17557,2.642306,1.72051
STRG.27.1,4687.458496,940.050598,612.104126
STRG.28.1,11.169417,2.239981,1.45854
STRG.28.2,5.305163,1.063929,0.692766
STRG.29.1,5.212196,1.045285,0.680626
STRG.29.2,4.838504,0.970342,0.631828
STRG.29.3,3.321858,0.666185,0.433779
STRG.29.4,2.520266,0.505429,0.329105
STRG.30.1,6.024909,1.208271,0.786753
STRG.30.2,1.012878,0.203129,0.132265
STRG.31.1,15.109921,3.030233,1.973104
STRG.32.1,1.94439,0.389939,0.253905
STRG.33.1,127.234886,25.516434,16.614761
STRG.33.2,47.661522,9.558323,6.223802
STRG.33.3,2.381333,0.477567,0.310962
STRG.34.1,37.756645,7.57194,4.93039
STRG.35.1,1.841232,0.369252,0.240434
STRG.36.1,1.852217,0.371455,0.241869
STRG.37.1,240.261856,48.183529,31.374205
STRG.38.1,7.490735,1.502236,0.978165
STRG.39.1,9.933148,1.992052,1.297104
STRG.39.2,1.088236,0.218241,0.142106
STRG.40.1,11.652561,2.336873,1.521631
STRG.40.2,8.427575,1.690116,1.100501
STRG.40.3,4.322759,0.866912,0.56448
STRG.40.4,1.396653,0.280093,0.18238
STRG.41.1,7.174895,1.438896,0.936922
STRG.41.2,4.24005,0.850325,0.55368
STRG.42.1,46.090443,9.243249,6.018646
STRG.42.2,3.12376,0.626457,0.407911
STRG.43.1,1.0,0.200546,0.130583
STRG.44.1,166.224258,33.335594,21.706123
STRG.44.2,25.973227,5.208824,3.391671
STRG.44.3,6.05287,1.213878,0.790404
STRG.44.4,2.370758,0.475446,0.309582
STRG.44.5,1.808308,0.362649,0.236135
STRG.44.6,1.585692,0.318004,0.207065
STRG.45.1,2.361589,0.473607,0.308384
STRG.45.2,7.613982,1.526953,0.994259
STRG.46.1,73.143661,14.668662,9.551347
STRG.47.1,22.990042,4.610559,3.002117
STRG.47.2,1.47496,0.295797,0.192605
STRG.48.1,22.03146,4.418319,2.876942
STRG.49.1,1.0,0.200546,0.130583
STRG.50.1,12.793224,2.565629,1.670582
STRG.51.1,3.69151,0.740317,0.48205
STRG.51.2,478.948395,96.051132,62.542698
STRG.51.3,5.513708,1.105752,0.719999
STRG.52.1,1.0,0.200546,0.130583
STRG.51.4,6.323395,1.268131,0.82573
STRG.51.5,1.93774,0.388606,0.253037
STRG.51.6,1.476572,0.29612,0.192816
STRG.53.1,32.827835,6.583488,4.286769
STRG.54.1,1.274681,0.255632,0.166452
STRG.55.1,15.279837,3.064308,1.995293
STRG.55.2,11.745375,2.355487,1.533751
STRG.55.3,3.666217,0.735245,0.478747
STRG.55.4,108.222588,21.703596,14.132071
STRG.55.5,38.166168,7.654068,4.983867
STRG.55.6,16.202347,3.249314,2.115757
STRG.56.1,7.903524,1.585019,1.032069
STRG.56.2,1.012656,0.203084,0.132236
STRG.57.1,32.43523,6.504752,4.235502
STRG.58.1,40.329659,8.087948,5.266383
STRG.58.2,5.538992,1.110822,0.7233
STRG.58.3,1.906258,0.382292,0.248926
STRG.59.1,31.49704,6.316602,4.11299
STRG.60.1,3.358442,0.673522,0.438557
STRG.61.1,12.93402,2.593865,1.688968
STRG.62.1,4.900762,0.982828,0.639958
STRG.63.1,1.587397,0.318346,0.207288
STRG.63.2,1.200196,0.240694,0.156726
STRG.64.1,5.764758,1.156099,0.752782
STRG.64.2,2.185425,0.438278,0.28538
STRG.65.1,36.460888,7.312081,4.761186
STRG.66.1,1.316098,0.263938,0.171861
STRG.67.1,3.728961,0.747828,0.48694
STRG.68.1,2.191732,0.439543,0.286204
STRG.69.1,1.0,0.200546,0.130583
STRG.70.1,3.054175,0.612502,0.398824
STRG.70.2,21.444078,4.300522,2.80024
STRG.70.3,6.165915,1.236549,0.805166
STRG.70.4,3.880626,0.778244,0.506745
STRG.70.5,2.276874,0.456618,0.297322
STRG.71.1,51.143173,10.256554,6.678448
STRG.71.2,5.035044,1.009758,0.657493
STRG.71.3,1.470802,0.294963,0.192062
STRG.72.1,8.217035,1.647893,1.073008
STRG.73.1,24.559231,4.925253,3.207027
STRG.73.2,7.924746,1.589275,1.03484
STRG.74.1,86.359367,17.319017,11.277098
STRG.74.2,17.506935,3.510944,2.286115
STRG.75.1,21.882269,4.3884,2.85746
STRG.76.1,1.0,0.200546,0.130583
STRG.77.1,9.074023,1.819758,1.184916
STRG.77.2,1.260499,0.252788,0.1646
STRG.78.1,439.290375,88.097878,57.364017
STRG.78.2,349.381805,70.067093,45.623455
STRG.78.3,50.004417,10.028181,6.529746
STRG.79.1,8.627685,1.730247,1.126632
STRG.79.2,7.139271,1.431751,0.93227
STRG.79.3,1.747133,0.35038,0.228147
STRG.79.4,18.087784,3.627431,2.361964
STRG.80.1,18.850687,3.780428,2.461586
STRG.81.1,1115.013916,223.611465,145.60228
STRG.81.2,17.872772,3.584311,2.333887
